FECHA              | EMPLEADO         | ACCION
-------------------------------------------------------------
2026-05-23 19:50:10 | jaimeEmpleado | Añadido perro: sdfsdf
2026-05-23 19:50:22 | jaimeEmpleado | Eliminado animal con id: 22
2026-05-28 22:23:30 | admin | Añadido gato: Vigotes
2026-05-28 22:25:51 | empleado | Eliminado animal con id: 41
2026-05-30 17:59:16 | jaimeEmpleado | Añadido gato: Gorrion
2026-06-02 09:37:10 | admin | Añadido perro: Toby
2026-06-02 09:37:48 | admin | Añadido gato: Valentin
2026-06-05 17:14:07 | admin | Añadido gato: kitty
2026-06-05 17:19:22 | admin | Añadido perro: NuevoAnimal
